,name,host_id,host_since,host_since_readable,host_tenure_days,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_verifications,verifications_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bathrooms_number,bedrooms,beds,amenities,amenities_count,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,estimated_occupancy_l365d,estimated_revenue_l365d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,has_reviews
10,Also five minutes to South Bank,979363,2011-08-16,"August 16, 2011",5141,within an hour,1.0,1.0,1,7,"['email', 'phone']",2,1,1,Lambeth,51.50287,-0.10937,Private room in rental unit,Private room,2,1.5 shared baths,1.5,1,2,"[""Cooking basics"", ""Washer"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""Host greets you"", ""Dishes and silverware"", ""Shower gel"", ""Coffee maker"", ""Refrigerator"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Dryer"", ""Backyard"", ""Hangers"", ""Hot water"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Single level home"", ""Oven"", ""Heating"", ""Shampoo"", ""Microwave"", ""Paid parking off premises"", ""Bed linens""]",30,66.0,1,1125,2,6,14,104,563,4,1,86,37,2442.0,4.63,4.72,4.76,4.68,4.75,4.82,4.56,1,6,1,5,0,3.42,1
11,Patio Apartment in London (Twickenham),1416605,2011-11-17,"November 17, 2011",5048,within an hour,1.0,1.0,1,3,"['email', 'phone']",2,1,1,Richmond upon Thames,51.44311,-0.33245,Entire rental unit,Entire home/apt,3,1 bath,1.0,1,1,"[""Cooking basics"", ""Washer"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Dishes and silverware"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Mini fridge"", ""Coffee maker"", ""Drying rack for clothing"", ""Dryer"", ""Hangers"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Hot water kettle"", ""Heating"", ""Microwave"", ""Bed linens"", ""Free parking on premises""]",23,73.0,4,9011,0,0,0,204,88,7,0,43,64,4672.0,4.64,4.68,4.76,4.94,4.94,4.92,4.58,1,3,2,1,0,0.61,1
14,2 Bed Edwardian Maisonette with Sunny Garden,2119157,2012-04-11,"April 11, 2012",4902,within an hour,1.0,1.0,0,4,"['email', 'phone', 'work_email']",3,1,0,Brent,51.55814,-0.22465,Entire rental unit,Entire home/apt,4,1 bath,1.0,2,2,"[""Cooking basics"", ""Wine glasses"", ""Treseme conditioner"", ""Iron"", ""Smoke alarm"", ""Stove"", ""Host greets you"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Coffee"", ""Dining table"", ""Dedicated workspace"", ""Exercise equipment: free weights"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Luggage dropoff allowed"", ""Various body soap"", ""Books and reading material"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Hot water"", ""Cleaning products"", ""Shared patio or balcony"", ""Hair dryer"", ""Breakfast"", ""Blender"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water kettle"", ""Oven"", ""Toaster"", ""Heating"", ""Bathtub"", ""Baking sheet"", ""Shampoo"", ""Board games"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed""]",48,134.0,3,21,9,22,48,323,7,0,0,161,0,0.0,4.71,4.71,4.43,4.86,4.86,4.43,4.43,0,2,1,1,0,0.05,1
15,1 bedroom flat with big balcony!,2119740,2012-04-11,"April 11, 2012",4902,within a few hours,1.0,1.0,0,1,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.52538,-0.21057,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,4,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""42 inch HDTV with standard cable, Netflix, Amazon Prime Video"", ""Host greets you"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Fast wifi \u2013 60 Mbps"", ""Conditioner"", ""SONO  sound system"", ""Coffee"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Freezer"", ""Paid street parking off premises"", ""Clothing storage: closet"", ""Hangers"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Elevator"", ""Blender"", ""Essentials"", ""Dishwasher"", ""Canal view"", ""Extra pillows and blankets"", ""Kitchen"", ""Coffee maker: Nespresso"", ""Outdoor furniture"", ""Hot water kettle"", ""Oven"", ""Toaster"", ""Heating"", ""Bathtub"", ""Private patio or balcony"", ""Shampoo"", ""Microwave"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans""]",48,200.0,5,9,0,0,9,44,13,2,0,40,20,4000.0,4.92,5.0,5.0,5.0,5.0,4.73,5.0,0,1,1,0,0,0.08,1
17,Cool shoreditch courtyard flat,2124088,2012-04-12,"April 12, 2012",4901,within a day,1.0,0.71,0,7,"['email', 'phone', 'work_email']",3,1,1,Hackney,51.52412,-0.07869,Entire rental unit,Entire home/apt,4,1 bath,1.0,1,1,"[""TV"", ""Essentials""]",2,155.0,3,64,0,3,33,308,0,0,0,146,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0.0,0
18,"Lovely 2 bedroom flat near Brixton, zone 2, London",2124185,2012-04-12,"April 12, 2012",4901,within a day,1.0,0.33,0,3,"['email', 'phone']",2,1,1,Lambeth,51.46837,-0.09851,Entire condo,Entire home/apt,5,2 baths,2.0,2,2,"[""Cooking basics"", ""Iron"", ""Smoke alarm"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Indoor fireplace: gas"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Lockbox"", ""Free washer \u2013 In building"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Self check-in"", ""Oven"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Ethernet connection"", ""Heating"", ""Shampoo"", ""Microwave"", ""Bed linens""]",29,135.0,7,12,8,32,62,152,23,0,0,152,0,0.0,4.77,4.78,4.39,4.78,4.78,4.48,4.65,0,2,1,1,0,0.15,1
19,Hackney Stylish & light 1 bedroom Victorian flat,2125123,2012-04-12,"April 12, 2012",4901,within an hour,1.0,0.91,1,35,"['email', 'phone']",2,1,1,Hackney,51.5475502,-0.066353001,Entire condo,Entire home/apt,3,1 bath,1.0,1,1,"[""Cooking basics"", ""Paid high chair - available upon request"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""Coffee"", ""Lockbox"", ""Body soap"", ""Cleaning available during stay"", ""Dining table"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Books and reading material"", ""46 inch HDTV with Amazon Prime Video, Apple TV, Netflix, standard cable"", ""Freezer"", ""Clothing storage: closet, wardrobe, and dresser"", ""Sound system with Bluetooth and aux"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water kettle"", ""Pack \u2019n play/Travel crib - available upon request"", ""Stainless steel gas stove"", ""Oven"", ""Self check-in"", ""Toaster"", ""Heating"", ""Bathtub"", ""Baking sheet"", ""Shampoo"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans""]",53,129.0,5,300,2,5,17,100,152,6,0,100,60,7740.0,4.65,4.7,4.64,4.84,4.91,4.75,4.61,1,5,5,0,0,0.96,1
20,"Boutique Room w/ Private Bath, Balcony",2126954,2012-04-12,"April 12, 2012",4901,within an hour,1.0,1.0,1,2,"['email', 'phone']",2,1,1,Hackney,51.54544,-0.07344,Private room in condo,Private room,2,1 private bath,1.0,1,1,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Stove"", ""Host greets you"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Coffee maker"", ""Refrigerator"", ""City skyline view"", ""Conditioner"", ""TV"", ""Coffee"", ""Body soap"", ""Cleaning available during stay"", ""Dining table"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Books and reading material"", ""Freezer"", ""Exterior security cameras on property"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Clothing storage: wardrobe"", ""Patio or balcony"", ""Shared gym in building"", ""Elevator"", ""Breakfast"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Single level home"", ""Exercise equipment: yoga mat"", ""Oven"", ""Toaster"", ""Heating"", ""Bathtub"", ""Shampoo"", ""Microwave"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans""]",53,70.0,5,90,7,11,20,25,208,13,2,25,130,9100.0,4.98,4.98,4.95,4.95,4.97,4.88,4.92,0,2,1,1,0,1.3,1
21,Top Floor Sunset View   Chelsea apartment,1436390,2011-11-23,"November 23, 2011",5042,Not Available,0.0,1.0,0,3,"['email', 'phone']",2,1,1,Hammersmith and Fulham,51.473328,-0.183576,Entire condo,Entire home/apt,5,1 bath,1.0,1,4,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Resort view"", ""Smoke alarm"", ""Dishes and silverware"", ""Shower gel"", ""Refrigerator"", ""City skyline view"", ""TV"", ""Coffee"", ""Dining table"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Electric stove"", ""Freezer"", ""Clothing storage"", ""Bosch stainless steel oven"", ""Hangers"", ""Crib"", ""Room-darkening shades"", ""Hot water"", ""Cleaning products"", ""Hair dryer"", ""Elevator"", ""Blender"", ""Essentials"", ""Coffee maker: french press"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Rice maker"", ""Trash compactor"", ""Babysitter recommendations"", ""Hot water kettle"", ""Shared backyard \u2013 Not fully fenced"", ""Single level home"", ""Window guards"", ""Toaster"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Bathtub"", ""Heating"", ""Private patio or balcony"", ""Baking sheet"", ""Microwave"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Paid parking on premises"", ""Portable fans""]",54,248.0,7,365,27,57,87,331,60,2,0,169,28,6944.0,4.6,4.5,4.43,4.78,4.83,4.58,4.48,0,1,1,0,0,0.51,1
22,Holiday London DB Room Let-on going,54730,2009-11-16,"November 16, 2009",5779,within a few hours,1.0,0.91,1,5,"['email', 'phone']",2,1,1,Islington,51.56861,-0.1127,Private room in rental unit,Private room,1,1 shared bath,1.0,1,1,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Stove"", ""First aid kit"", ""Dishes and silverware"", ""Shower gel"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""Central heating"", ""Coffee"", ""Lock on bedroom door"", ""Body soap"", ""Dining table"", ""Dedicated workspace"", ""Lake access"", ""Laundromat nearby"", ""Free washer \u2013 In unit"", ""Children\u2019s dinnerware"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Freezer"", ""Outlet covers"", ""Private entrance"", ""Paid street parking off premises"", ""Hangers"", ""Clothing storage: dresser"", ""Room-darkening shades"", ""Hot water"", ""Hair dryer"", ""Blender"", ""Essentials"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Babysitter recommendations"", ""Hot water kettle"", ""Children\u2019s books and toys"", ""Self check-in"", ""Oven"", ""Toaster"", ""Ethernet connection"", ""Bathtub"", ""Building staff"", ""Private patio or balcony"", ""Baking sheet"", ""Shampoo"", ""Board games"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans""]",55,72.0,1,29,18,43,70,345,54,11,0,183,101,7272.0,4.85,4.79,4.79,4.81,4.87,4.77,4.77,0,3,2,1,0,0.3,1
23,Bright Chelsea  Apartment. Chelsea!,60302,2009-12-05,"December 05, 2009",5760,Not Available,0.0,0.67,0,1,"['email', 'phone']",2,1,1,Kensington and Chelsea,51.4878,-0.16813,Entire rental unit,Entire home/apt,2,1 bath,1.0,1,1,"[""Cooking basics"", ""Washer"", ""Air conditioning"", ""Iron"", ""Smoke alarm"", ""Fire extinguisher"", ""Host greets you"", ""Dishes and silverware"", ""TV with standard cable"", ""Carbon monoxide alarm"", ""Coffee maker"", ""Refrigerator"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Dryer"", ""Hangers"", ""Hot water"", ""Hair dryer"", ""Essentials"", ""Wifi"", ""Kitchen"", ""Heating"", ""Shampoo"", ""Microwave"", ""Long term stays allowed""]",25,120.0,4,30,0,0,0,103,97,1,0,0,9,1080.0,4.8,4.86,4.87,4.88,4.84,4.93,4.74,0,1,1,0,0,0.51,1
24,Very Central Modern 3-Bed/2 Bath By Oxford St W1,67564,2010-01-04,"January 04, 2010",5730,within an hour,1.0,0.89,1,15,"['email', 'phone', 'work_email']",3,1,1,Westminster,51.52195,-0.14094,Entire rental unit,Entire home/apt,6,2 baths,2.0,3,3,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Dishes and silverware"", ""Coffee maker"", ""Refrigerator"", ""TV"", ""Coffee"", ""Dining table"", ""Dedicated workspace"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Electric stove"", ""Laundromat nearby"", ""Freezer"", ""Hangers"", ""Hot water"", ""Cleaning products"", ""Clothing storage: closet and wardrobe"", ""Hair dryer"", ""Elevator"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Kitchen"", ""Hot water kettle"", ""Single level home"", ""Oven"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Heating"", ""Baking sheet"", ""Microwave"", ""Paid parking off premises"", ""Bed linens"", ""Long term stays allowed"", ""Portable fans""]",39,510.0,3,365,12,26,53,328,56,0,0,165,0,0.0,4.77,4.83,4.72,4.72,4.72,4.89,4.61,0,2,2,0,0,0.32,1
25,Battersea live/work artist house,41759,2009-09-28,"September 28, 2009",5828,within a few hours,1.0,0.1,0,3,"['email', 'phone', 'work_email']",3,1,1,Wandsworth,51.47072,-0.16266,Entire townhouse,Entire home/apt,4,1.5 baths,1.5,1,1,"[""Cooking basics"", ""Wine glasses"", ""Iron"", ""Smoke alarm"", ""Dishes and silverware"", ""Miele oven"", ""Shower gel"", ""BBQ grill: charcoal"", ""Indoor fireplace: gas"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Central heating"", ""Coffee"", ""Lockbox"", ""Clothing storage: closet and dresser"", ""Body soap"", ""Dining table"", ""Dedicated workspace"", ""Luggage dropoff allowed"", ""Drying rack for clothing"", ""Free washer \u2013 In unit"", ""Laundromat nearby"", ""Record player"", ""Books and reading material"", ""HDTV with Apple TV, Roku, Netflix"", ""Freezer"", ""Free residential garage on premises \u2013 1 space"", ""Private entrance"", ""Shared backyard \u2013 Fully fenced"", ""Hangers"", ""Room-darkening shades"", ""Hot water"", ""Barbecue utensils"", ""Cleaning products"", ""Garden view"", ""Bread maker"", ""Pets allowed"", ""Hair dryer"", ""Apple speaker Bluetooth sound system"", ""Bikes"", ""Exercise equipment: yoga mat, rowing"", ""Paid parking lot off premises"", ""Blender"", ""Coffee maker: espresso machine"", ""Essentials"", ""Dishwasher"", ""Wifi"", ""Extra pillows and blankets"", ""Kitchen"", ""Movie theater"", ""Rice maker"", ""Outdoor furniture"", ""Hot water kettle"", ""Outdoor dining area"", ""Self check-in"", ""Toaster"", ""Free dryer \u2013 In unit"", ""Bathtub"", ""Ethernet connection"", ""Miele gas stove"", ""Private patio or balcony"", ""Baking sheet"", ""Shampoo"", ""Bed linens"", ""Long term stays allowed""]",68,213.0,90,1125,23,53,83,358,94,0,0,196,0,0.0,4.9,4.89,4.91,4.9,4.93,4.59,4.65,0,1,1,0,0,0.53,1
